,efficiency pauschal,power_in,power_out,thermal_input,cycle_start,cycle_end,power_fraction_start,power_fraction_end,reference_carnot_efficiency
0,0.792251390745849,80536477235.25316,147713511363.8037,173783358805.16367,3.0,8699.0,1.0,0.9437769841708238,0.6094444336874947
625,0.7920115459816762,27501909301.422684,51275000000.0,60406901085.12366,626.0,3492.0,1.0,0.25241830756148703,0.6164578524323889
1251,0.7919137484299718,23726259943.780052,44250000000.0,52135278278.48685,861.0,3446.0,0.20192282508374393,0.532205364792504,0.6166848719749181
1877,0.7907816528645615,11274576406.56095,21050000000.0,24817780874.83778,1623.0,2878.0,0.0072946620130810436,0.4736488254666249,0.6182928005561716
2502,0.790781181082409,11274597708.615274,21050000000.0,24817780874.837776,1624.0,2879.0,0.29571410196865233,0.18522938551103146,0.6182925821260846
3128,0.7918945303560703,23727635061.221146,44250000000.0,52135278278.48685,846.0,3419.0,0.9330924726486193,0.8285380660494633,0.6166845063768649
3754,0.7921399563961611,78558075128.17836,144063511363.8037,169496113449.72244,181.0,8683.0,0.3690431015951271,0.006691741079598113,0.6095016436907844
4380,0.7896162545672406,27050000000.0,48477161898.71325,57000951832.4699,4381.0,7516.0,1.0,0.7730106981909222,0.6025042916378329
5005,0.7878764367416454,20050000000.0,35768340614.66884,42078171911.2294,5000.0,7384.0,0.0,0.8668122933768434,0.6024124337189416
5631,0.7879803500212987,20050000000.0,35775111132.15843,42084561893.167755,5113.0,7436.0,0.3061046411319617,0.9258907259626824,0.6023828745416648
6257,0.7931173251339984,5350000000.0,9611115005.667591,11282932549.690262,6210.0,6862.0,0.0,0.22230011335183808,0.5998573809140682
6882,0.7923941229173914,7100000000.0,12732743621.784636,14951069264.996489,6387.0,7171.0,0.8293413908726204,0.8255310448201132,0.5998701542184028
7508,0.7893752836427492,25600000000.0,45844045951.358986,53907991578.97855,4507.0,7509.0,0.11069175110557816,-0.0,0.6024406140945198
8134,0.7916075251045007,43873088411.16784,79488511363.80371,93458384340.66217,3679.0,8606.0,0.9857274377423234,0.4760407856144286,0.6049853536627654
8760,0.7917667279676782,40820071289.55445,73913511363.80371,86890757685.07547,4136.0,8717.0,0.40142579108905463,1.0,0.6045817343110571
